SNR_dB,True_Doppler_Hz,Est_Doppler_Hz,MSE
0,1166.67,1166.10,105.614273
2,1166.67,1165.99,61.099358
4,1166.67,1166.00,36.187332
6,1166.67,1165.98,21.373148
8,1166.67,1165.93,13.359870
10,1166.67,1165.99,8.433157
12,1166.67,1165.97,5.416855
14,1166.67,1166.00,3.538969
16,1166.67,1165.93,2.497909
18,1166.67,1165.97,1.688682
20,1166.67,1165.96,1.248950
22,1166.67,1165.98,0.963133
24,1166.67,1165.95,0.810654
26,1166.67,1165.96,0.691835
28,1166.67,1165.97,0.614815
30,1166.67,1165.96,0.584886
