SNR_dB,True_Doppler_Hz,Est_Doppler_Hz,AI_Doppler_Hz,MSE,MSE_AI,BER
0,1166.67,1165.94, 2332.11, 110.702461,1358704.750000,0.486210
2,1166.67,1166.05, 2332.32, 61.504337,1358987.500000,0.479141
4,1166.67,1165.96, 2332.13, 35.540928,1358454.625000,0.472917
6,1166.67,1165.96, 2332.13, 21.744825,1358386.750000,0.468156
8,1166.67,1165.97, 2332.14, 13.881594,1358387.875000,0.464833
10,1166.67,1165.99, 2332.19, 8.376796,1358465.000000,0.462670
12,1166.67,1165.88, 2331.98, 5.528810,1357977.250000,0.461364
14,1166.67,1165.95, 2332.11, 3.653852,1358266.750000,0.460609
16,1166.67,1165.98, 2332.17, 2.477561,1358414.500000,0.460177
18,1166.67,1165.93, 2332.08, 1.777413,1358186.750000,0.459955
20,1166.67,1165.93, 2332.08, 1.314158,1358206.500000,0.459826
22,1166.67,1165.95, 2332.12, 0.998524,1358298.875000,0.459769
24,1166.67,1165.96, 2332.14, 0.809050,1358311.500000,0.459723
26,1166.67,1165.95, 2332.11, 0.708166,1358267.375000,0.459703
28,1166.67,1165.97, 2332.13, 0.614787,1358337.250000,0.459676
30,1166.67,1165.97, 2332.12, 0.574461,1358326.125000,0.459667
