SNR_dB,True_Doppler_Hz,Est_Doppler_Hz,MSE
0,1166.67,1166.08,109.912949
2,1166.67,1165.93,61.548244
4,1166.67,1166.01,36.345367
6,1166.67,1165.97,21.807039
8,1166.67,1165.97,13.471511
10,1166.67,1165.99,8.417439
12,1166.67,1165.96,5.305618
14,1166.67,1165.94,3.651962
16,1166.67,1165.99,2.358089
18,1166.67,1165.96,1.707079
20,1166.67,1165.97,1.273040
22,1166.67,1165.95,0.977966
24,1166.67,1165.95,0.814868
26,1166.67,1165.95,0.698430
28,1166.67,1165.96,0.621782
30,1166.67,1165.96,0.579128
